,Waermebedarf,BHKW_th,Solarthermie,Waermespeicher_in,Waermepumpe_th,Waermespeicher_out,Waermeueberschuss
2019-08-05 00:00:00,-64.62540000000001,26.1,0.0,-0.0,0.0,38.5254,-0.0
2019-08-05 01:00:00,-67.833,32.293445,0.0,-0.0,26.128497,9.4110579,-0.0
2019-08-05 02:00:00,-67.833,34.465476,0.0,-0.0,33.367524,0.0,-0.0
2019-08-05 03:00:00,-71.0424,37.065989,0.0,-0.0,33.976411,0.0,-0.0
2019-08-05 04:00:00,-75.8538,41.746316,1.3129669,-0.0,32.794517,0.0,-0.0
2019-08-05 05:00:00,-82.2726,49.639526,7.6418785,-0.0,24.991195,0.0,-0.0
2019-08-05 06:00:00,-82.2726,47.982933,27.897804,-0.0,6.3918637,0.0,-0.0
2019-08-05 07:00:00,-83.8764,34.903731,48.972669,-0.0,0.0,0.0,-0.0
2019-08-05 08:00:00,-79.0632,2.415912,76.647288,-0.0,0.0,0.0,-0.0
2019-08-05 09:00:00,-75.8538,0.0,103.9919,-17.486833,0.0,0.0,-10.651266
2019-08-05 10:00:00,-67.833,0.0,118.86194,-51.028943,0.0,0.0,-0.0
2019-08-05 11:00:00,-66.2292,0.0,125.66371,-59.434506,0.0,0.0,-0.0
2019-08-05 12:00:00,-71.0424,0.0,120.82558,-49.783182,0.0,0.0,-0.0
2019-08-05 13:00:00,-69.43679999999999,0.0,107.90624,-38.469435,0.0,0.0,-0.0
2019-08-05 14:00:00,-66.2292,0.0,85.458364,-19.229164,0.0,0.0,-0.0
2019-08-05 15:00:00,-66.2292,0.0,71.121495,-4.8922948,0.0,0.0,-0.0
2019-08-05 16:00:00,-67.833,34.730549,41.230198,-8.1277469,0.0,0.0,-0.0
2019-08-05 17:00:00,-67.833,52.422208,19.168433,-3.7576404,0.0,0.0,-0.0
2019-08-05 18:00:00,-67.833,54.859402,5.6176919,-0.0,0.0,7.3559056,-0.0
2019-08-05 19:00:00,-67.833,51.860091,0.65252741,-0.0,0.0,15.320381,-0.0
2019-08-05 20:00:00,-69.43679999999999,50.77575,0.0,-0.0,0.0,18.66105,-0.0
2019-08-05 21:00:00,-67.833,45.2142,0.0,-0.0,0.0,22.6188,-0.0
2019-08-05 22:00:00,-66.2292,36.45,0.0,-0.0,0.0,29.7792,-0.0
2019-08-05 23:00:00,-69.43679999999999,30.86325,0.0,-0.0,0.0,38.57355,-0.0
2019-08-06 00:00:00,-66.2292,27.405,0.0,-0.0,0.0,38.8242,-0.0
2019-08-06 01:00:00,-66.2292,32.510737,0.0,-0.0,21.064515,12.653948,-0.0
2019-08-06 02:00:00,-72.6462,36.740968,0.0,-0.0,35.905232,0.0,-0.0
2019-08-06 03:00:00,-74.25,38.527297,0.0,-0.0,35.722703,0.0,-0.0
2019-08-06 04:00:00,-74.25,42.578894,0.66043951,-0.0,31.010666,0.0,-0.0
2019-08-06 05:00:00,-79.0632,50.423863,5.8810808,-0.0,22.758256,0.0,-0.0
2019-08-06 06:00:00,-77.4594,46.133335,30.050416,-0.0,1.275649,0.0,-0.0
2019-08-06 07:00:00,-72.6462,21.622848,51.023352,-0.0,0.0,0.0,-0.0
2019-08-06 08:00:00,-67.833,0.0,82.117217,-0.0,0.0,0.0,-14.284217
2019-08-06 09:00:00,-64.62540000000001,0.0,104.79886,-16.305372,0.0,0.0,-23.868092
2019-08-06 10:00:00,-64.62540000000001,0.0,115.83448,-51.209083,0.0,0.0,-0.0
2019-08-06 11:00:00,-66.2292,0.0,121.82468,-55.595482,0.0,0.0,-0.0
2019-08-06 12:00:00,-66.2292,0.0,115.48979,-49.260593,0.0,0.0,-0.0
2019-08-06 13:00:00,-63.019800000000004,0.0,105.49881,-42.479009,0.0,0.0,-0.0
2019-08-06 14:00:00,-66.2292,0.0,86.41964,-20.19044,0.0,0.0,-0.0
2019-08-06 15:00:00,-63.019800000000004,0.0,63.872841,-0.85304075,0.0,0.0,-0.0
2019-08-06 16:00:00,-64.62540000000001,39.429399,34.705397,-9.5093959,0.0,0.0,-0.0
2019-08-06 17:00:00,-66.2292,56.803965,18.420226,-8.9949909,0.0,0.0,-0.0
2019-08-06 18:00:00,-64.62540000000001,59.673996,4.6705492,-0.0,0.0,0.28085478,-0.0
2019-08-06 19:00:00,-63.019800000000004,56.205741,0.65252741,-0.0,0.0,6.1615312,-0.0
2019-08-06 20:00:00,-64.62540000000001,54.42525,0.0,-0.0,0.0,10.20015,-0.0
2019-08-06 21:00:00,-66.2292,48.12435,0.0,-0.0,0.0,18.10485,-0.0
2019-08-06 22:00:00,-66.2292,38.745,0.0,-0.0,0.0,27.4842,-0.0
2019-08-06 23:00:00,-64.62540000000001,31.77,0.0,-0.0,0.0,32.8554,-0.0
2019-08-07 00:00:00,-63.019800000000004,27.45,0.0,-0.0,0.0,35.5698,-0.0
2019-08-07 01:00:00,-63.019800000000004,25.38,0.0,-0.0,0.0,37.6398,-0.0
2019-08-07 02:00:00,-66.2292,32.451688,0.0,-0.0,21.720808,12.056704,-0.0
2019-08-07 03:00:00,-64.62540000000001,36.11807,0.0,-0.0,28.50733,0.0,-0.0
2019-08-07 04:00:00,-63.019800000000004,39.576419,0.98670322,-0.0,22.456678,0.0,-0.0
2019-08-07 05:00:00,-66.2292,46.723223,6.3269839,-0.0,13.178994,0.0,-0.0
2019-08-07 06:00:00,-66.2292,40.903937,25.325263,-0.0,0.0,0.0,-0.0
2019-08-07 07:00:00,-63.019800000000004,11.401348,51.618452,-0.0,0.0,0.0,-0.0
2019-08-07 08:00:00,-63.019800000000004,0.0,74.231894,-0.0,0.0,0.0,-11.212094
2019-08-07 09:00:00,-64.62540000000001,0.0,96.561322,-25.90659,0.0,0.0,-6.0293315
2019-08-07 10:00:00,-64.62540000000001,0.0,110.24377,-45.618369,0.0,0.0,-0.0
2019-08-07 11:00:00,-64.62540000000001,0.0,117.25133,-52.62593,0.0,0.0,-0.0
2019-08-07 12:00:00,-64.62540000000001,0.0,114.43227,-49.80687,0.0,0.0,-0.0
2019-08-07 13:00:00,-66.2292,0.0,104.58372,-38.354524,0.0,0.0,-0.0
2019-08-07 14:00:00,-64.62540000000001,0.0,87.717354,-23.091954,0.0,0.0,-0.0
2019-08-07 15:00:00,-64.62540000000001,0.0,66.073457,-1.4480566,0.0,0.0,-0.0
2019-08-07 16:00:00,-63.019800000000004,32.009097,41.350944,-10.34024,0.0,0.0,-0.0
2019-08-07 17:00:00,-63.019800000000004,52.580568,18.068453,-7.6292213,0.0,0.0,-0.0
2019-08-07 18:00:00,-63.019800000000004,54.693815,5.3389008,-0.0,0.0,2.9870839,-0.0
2019-08-07 19:00:00,-63.019800000000004,50.22373,0.66043951,-0.0,0.0,12.13563,-0.0
2019-08-07 20:00:00,-64.62540000000001,47.89845,0.0,-0.0,0.0,16.72695,-0.0
2019-08-07 21:00:00,-64.62540000000001,42.795,0.0,-0.0,0.0,21.8304,-0.0
2019-08-07 22:00:00,-64.62540000000001,35.01,0.0,-0.0,0.0,29.6154,-0.0
2019-08-07 23:00:00,-67.833,28.53,0.0,-0.0,0.0,39.303,-0.0
2019-08-08 00:00:00,-66.2292,24.57,0.0,-0.0,0.0,41.6592,-0.0
2019-08-08 01:00:00,-66.2292,27.706377,0.0,-0.0,18.437617,20.085206,-0.0
2019-08-08 02:00:00,-64.62540000000001,32.372124,0.0,-0.0,32.253276,0.0,-0.0
2019-08-08 03:00:00,-66.2292,32.796292,0.0,-0.0,33.432908,0.0,-0.0
2019-08-08 04:00:00,-66.2292,33.987348,0.66043951,-0.0,31.581412,0.0,-0.0
2019-08-08 05:00:00,-66.2292,34.909658,5.5961014,-0.0,25.72344,0.0,-0.0
2019-08-08 06:00:00,-67.833,39.947139,7.1462936,-0.0,20.739568,0.0,-0.0
2019-08-08 07:00:00,-66.2292,45.159914,7.2431896,-0.0,13.826097,0.0,-0.0
2019-08-08 08:00:00,-64.62540000000001,46.734111,13.45839,-0.0,4.4328994,0.0,-0.0
2019-08-08 09:00:00,-64.62540000000001,50.593509,11.41923,-0.0,2.6126613,0.0,-0.0
2019-08-08 10:00:00,-66.2292,44.512722,31.657223,-9.9407452,0.0,0.0,-0.0
2019-08-08 11:00:00,-64.62540000000001,19.479688,98.337001,-53.191289,0.0,0.0,-0.0
2019-08-08 12:00:00,-66.2292,17.04179,94.514755,-45.327344,0.0,0.0,-0.0
2019-08-08 13:00:00,-64.62540000000001,25.162625,63.041136,-23.578361,0.0,0.0,-0.0
2019-08-08 14:00:00,-64.62540000000001,31.102659,41.795886,-8.2731451,0.0,0.0,-0.0
2019-08-08 15:00:00,-61.416,30.897352,36.511027,-5.9923789,0.0,0.0,-0.0
2019-08-08 16:00:00,-64.62540000000001,34.154137,26.260163,-0.0,0.0,4.2110994,-0.0
2019-08-08 17:00:00,-64.62540000000001,36.371594,20.376826,-0.0,0.0,7.8769796,-0.0
2019-08-08 18:00:00,-63.019800000000004,40.075414,6.5252741,-0.0,0.0,16.419112,-0.0
2019-08-08 19:00:00,-66.2292,37.137124,1.9575822,-0.0,0.0,27.134493,-0.0
2019-08-08 20:00:00,-66.2292,36.405,0.0,-0.0,0.0,29.8242,-0.0
2019-08-08 21:00:00,-66.2292,33.31328,0.0,-0.0,2.0013158,30.914604,-0.0
2019-08-08 22:00:00,-64.62540000000001,35.471043,0.0,-0.0,29.154357,0.0,-0.0
2019-08-08 23:00:00,-66.2292,31.468184,0.0,-0.0,34.761016,0.0,-0.0
2019-08-09 00:00:00,-66.2292,27.99467,0.0,-0.0,38.23453,0.0,-0.0
2019-08-09 01:00:00,-64.62540000000001,25.527259,0.0,-0.0,39.098141,0.0,-0.0
2019-08-09 02:00:00,-64.62540000000001,24.812124,0.0,-0.0,39.813276,0.0,-0.0
2019-08-09 03:00:00,-64.62540000000001,25.152665,0.0,-0.0,39.472735,0.0,-0.0
2019-08-09 04:00:00,-66.2292,24.900633,0.97879112,-0.0,40.349776,0.0,-0.0
2019-08-09 05:00:00,-64.62540000000001,22.325309,6.260506,-0.0,36.039585,0.0,-0.0
2019-08-09 06:00:00,-75.8538,18.623764,26.677381,-0.0,30.552654,0.0,-0.0
2019-08-09 07:00:00,-74.25,10.697521,50.894353,-0.0,12.658125,0.0,-0.0
2019-08-09 08:00:00,-72.6462,2.8333897,76.537787,-6.7249762,0.0,0.0,-0.0
2019-08-09 09:00:00,-71.0424,0.0,100.11035,-34.03209,4.9641417,0.0,-0.0
2019-08-09 10:00:00,-71.0424,0.0,117.66386,-57.473302,10.851842,0.0,-0.0
2019-08-09 11:00:00,-69.43679999999999,0.0,122.12833,-69.965895,17.274368,0.0,-0.0
2019-08-09 12:00:00,-101.5236,0.0,115.16446,-32.320884,18.680021,0.0,-0.0
2019-08-09 13:00:00,-98.31419999999999,0.0,101.26422,-12.572278,9.6222529,0.0,-0.0
2019-08-09 14:00:00,-88.6896,0.39976647,88.494473,-0.20463945,0.0,0.0,-0.0
2019-08-09 15:00:00,-80.667,8.9382473,64.010773,-0.0,0.0,7.7179798,-0.0
2019-08-09 16:00:00,-63.019800000000004,23.550104,28.829343,-0.0,0.0,10.640353,-0.0
2019-08-09 17:00:00,-64.62540000000001,30.106326,18.165223,-0.0,0.0,16.353852,-0.0
2019-08-09 18:00:00,-61.416,34.806727,4.9176919,-0.0,0.0,21.691581,-0.0
2019-08-09 19:00:00,-54.999,35.33916,0.3341758,-0.0,0.0,19.325665,-0.0
2019-08-09 20:00:00,-63.019800000000004,37.35225,0.0,-0.0,0.0,25.66755,-0.0
2019-08-09 21:00:00,-54.999,35.055,0.0,-0.0,0.0,19.944,-0.0
2019-08-09 22:00:00,-77.4594,30.762596,0.0,-0.0,5.4058531,41.290951,-0.0
2019-08-09 23:00:00,-80.667,37.874676,0.0,-0.0,42.792324,0.0,-0.0
2019-08-10 00:00:00,-82.2726,35.881443,0.0,-0.0,46.391157,0.0,-0.0
2019-08-10 01:00:00,-75.8538,32.753627,0.0,-0.0,43.100173,0.0,-0.0
2019-08-10 02:00:00,-63.019800000000004,29.427519,0.0,-0.0,33.592281,0.0,-0.0
2019-08-10 03:00:00,-61.416,30.263351,0.0,-0.0,31.152649,0.0,-0.0
2019-08-10 04:00:00,-58.208400000000005,34.764757,0.65252741,-0.0,22.791115,0.0,-0.0
2019-08-10 05:00:00,-58.208400000000005,43.589587,4.3325959,-0.0,10.286218,0.0,-0.0
2019-08-10 06:00:00,-58.208400000000005,34.55354,23.65486,-0.0,0.0,0.0,-0.0
2019-08-10 07:00:00,-61.416,15.003411,46.412589,-0.0,0.0,0.0,-0.0
2019-08-10 08:00:00,-67.833,0.96831138,66.864689,-0.0,0.0,0.0,-0.0
2019-08-10 09:00:00,-77.4594,0.0,84.216529,-6.7571286,0.0,0.0,-0.0
2019-08-10 10:00:00,-79.0632,0.0,103.37648,-24.313279,0.0,0.0,-0.0
2019-08-10 11:00:00,-58.208400000000005,0.0,110.57229,-52.363894,0.0,0.0,-0.0
2019-08-10 12:00:00,-67.833,0.0,110.07603,-42.243026,0.0,0.0,-0.0
2019-08-10 13:00:00,-64.62540000000001,0.0,100.8198,-36.194402,0.0,0.0,-0.0
2019-08-10 14:00:00,-61.416,12.130402,69.65495,-20.369352,0.0,0.0,-0.0
2019-08-10 15:00:00,-63.019800000000004,44.087346,56.494195,-37.56174,0.0,0.0,-0.0
2019-08-10 16:00:00,-66.2292,48.632323,38.708659,-21.111781,0.0,0.0,-0.0
2019-08-10 17:00:00,-66.2292,55.075235,17.645712,-6.4917464,0.0,0.0,-0.0
2019-08-10 18:00:00,-66.2292,57.797887,5.2518677,-0.0,0.0,3.1794452,-0.0
2019-08-10 19:00:00,-66.2292,54.713171,0.32626371,-0.0,0.0,11.189766,-0.0
2019-08-10 20:00:00,-69.43679999999999,52.5339,0.0,-0.0,0.0,16.9029,-0.0
2019-08-10 21:00:00,-69.43679999999999,44.595,0.0,-0.0,0.0,24.8418,-0.0
2019-08-10 22:00:00,-67.833,37.08,0.0,-0.0,0.0,30.753,-0.0
2019-08-10 23:00:00,-66.2292,30.04515,0.0,-0.0,0.0,36.18405,-0.0
2019-08-11 00:00:00,-63.019800000000004,28.395,0.0,-0.0,0.0,34.6248,-0.0
2019-08-11 01:00:00,-59.812200000000004,28.480258,0.0,-0.0,4.7452462,26.586696,-0.0
2019-08-11 02:00:00,-64.62540000000001,36.424557,0.0,-0.0,28.200843,0.0,-0.0
2019-08-11 03:00:00,-58.208400000000005,35.919341,0.0,-0.0,22.289059,0.0,-0.0
2019-08-11 04:00:00,-58.208400000000005,39.838811,0.65252741,-0.0,17.717061,0.0,-0.0
2019-08-11 05:00:00,-59.812200000000004,48.250094,3.2626371,-0.0,8.2994693,0.0,-0.0
2019-08-11 06:00:00,-63.019800000000004,56.241874,6.5252741,-0.0,0.25265203,0.0,-0.0
2019-08-11 07:00:00,-72.6462,61.922149,13.376812,-2.6527612,0.0,0.0,-0.0
2019-08-11 08:00:00,-74.25,65.262394,15.660658,-6.6730521,0.0,0.0,-0.0
2019-08-11 09:00:00,-72.6462,76.60935,0.0,-3.96315,0.0,0.0,-0.0
2019-08-11 10:00:00,-69.43679999999999,79.6986,0.0,-10.2618,0.0,0.0,-0.0
2019-08-11 11:00:00,-66.2292,79.19595,0.0,-12.96675,0.0,0.0,-0.0
2019-08-11 12:00:00,-66.2292,77.14935,0.0,-10.92015,0.0,0.0,-0.0
2019-08-11 13:00:00,-63.019800000000004,76.26555,0.0,-13.24575,0.0,0.0,-0.0
2019-08-11 14:00:00,-63.019800000000004,72.17235,0.0,-9.15255,0.0,0.0,-0.0
2019-08-11 15:00:00,-58.208400000000005,65.2725,0.0,-7.0641,0.0,0.0,-0.0
2019-08-11 16:00:00,-53.395199999999996,63.9243,0.0,-10.5291,0.0,0.0,-0.0
2019-08-11 17:00:00,-59.812200000000004,62.38665,0.0,-2.57445,0.0,0.0,-0.0
2019-08-11 18:00:00,-59.812200000000004,60.345,0.0,-0.5328,0.0,0.0,-0.0
2019-08-11 19:00:00,-63.019800000000004,55.5543,0.0,-0.0,0.0,7.4655,-0.0
2019-08-11 20:00:00,-64.62540000000001,53.4609,0.0,-0.0,0.0,11.1645,-0.0
2019-08-11 21:00:00,-64.62540000000001,45.6318,0.0,-0.0,0.0,18.9936,-0.0
2019-08-11 22:00:00,-63.019800000000004,36.765,0.0,-0.0,0.0,26.2548,-0.0
2019-08-11 23:00:00,-59.812200000000004,35.985542,0.0,-0.0,18.43502,5.3916379,-0.0
